LEA Ide,LEA Identifier (Stat,FI,Education Entity Name,School Ident,Mailing Address1,Mailing Address2,Mailing Address3,City,St,Zip,Telephone Education ,School Ye,School Operational S
1390127,344445,67,Williams Elementary School,100000000081,2997 Barr Gardens Apt. 284,,,PORT RICHARD,ME,80851,0519558593,2022-2023,Closed
1390128,412756,37,Smith Elementary School,100000000082,8394 Sanchez Wall,,,COOPERSIDE,MS,42503,6643814157,2022-2023,Open
1390129,225846,64,Gardner Elementary School,100000000083,3214 Dunn Junctions,,,EAST MICHAELVILLE,PA,32373,3400958945,2022-2023,Open
1390130,390353,33,Smith Elementary School,100000000084,77426 Jeff Manors Apt. 141,,,LAURABERG,NE,15582,3123385183,2022-2023,Pending
1390131,809903,28,Lee Elementary School,100000000085,97319 Holloway Alley,,,ELIZABETHBOROUGH,AK,70515,9859362958,2022-2023,Pending
1390132,247590,12,Jones Elementary School,100000000086,7964 Joanna Alley Suite 401,,,PORT MAXWELLSIDE,PW,63805,9713056458,2022-2023,Pending
1390133,146979,18,Murphy Elementary School,100000000087,514 Ross Cove,,,BRENDAFURT,NY,37586,5290137153,2022-2023,Open
1390134,679917,19,Patterson Elementary School,100000000088,887 Todd Curve,,,OLSONSTAD,TX,80418,3215676986,2022-2023,Open
1390135,532437,54,Thomas Elementary School,100000000089,292 Rowe Courts Suite 993,,,FLORESSHIRE,NC,80091,8166457956,2022-2023,Pending
1390136,969051,59,Jimenez Elementary School,100000000090,32152 Brenda Point Suite 338,,,HARRISONBURGH,AZ,81960,4810746047,2022-2023,Pending
1390137,462627,57,Campos Elementary School,100000000091,768 Howell Wells Apt. 133,,,WEST DARLENE,SD,41942,8633810502,2022-2023,Pending
1390138,919837,5,Brown Elementary School,100000000092,142 Joyce Square Suite 775,,,EAST PAIGE,MH,42227,9665586271,2022-2023,Open
1390139,750150,58,Johnson Elementary School,100000000093,40049 Melissa Rapid Apt. 855,,,KRISTINHAVEN,WI,76748,0201851942,2022-2023,Closed
1390140,547243,65,Wheeler Elementary School,100000000094,566 Ford Crescent Apt. 741,,,CHARLESMOUTH,FM,69661,6189026650,2022-2023,Closed
1390141,870469,96,Gomez Elementary School,100000000095,9754 Michael Extensions Suite 076,,,MIKETOWN,MN,32859,3642069597,2022-2023,Open
1390142,668061,88,Phillips Elementary School,100000000096,9569 Ball Unions Apt. 630,,,SOUTH DOMINIQUE,WA,44710,8377312245,2022-2023,Closed
1390143,949580,8,Vega Elementary School,100000000097,67047 Mccoy Vista Suite 968,,,SOUTH TAYLORPORT,IA,02885,4979976559,2022-2023,Pending
1390144,338394,38,Johnston Elementary School,100000000098,341 Taylor Crescent,,,WEST SHEILA,VT,63077,8926340950,2022-2023,Open
1390145,312832,39,Day Elementary School,100000000099,606 Sanchez Vista,,,WEST LAURIEBOROUGH,UT,25317,2604410744,2022-2023,Open
